sentiment,review_body,product_category
-1,Loved the look of this shirt online. i tried it on and was sad to see that the frontal view is all wrong. the cool shoulder design is almost too exaggerated (almost looks as if i'm ready for take off!). unfortunately  none of the featured photos on the product page display the frontal view of the model. i really wish the shoulder design was slightly smaller in shape and size - i would have loved it! looks great from the side but sadly i can't walk around like that ;),Blouses
-1,I was very disappointed with my recent retailer order. i ordered the meleri eyelet tank and it had a stain on the front. i also order a dress that came with a tear in the fabric. sale items should not be damaged unless the customer is aware of the damage and accepts it in that condition. very disappointing.,Blouses
-1,This blouse is quite stiff. i wouldn't mind the boxiness if this blouse weren't so long. even if you size down  because of the eyelet and the cute hem  it would be difficult to shorten this blouse to fit.,Blouses
-1,I returned this item. it was soft. very blah fabric. nothing special.,Blouses
-1,"I'll start by saying the fabric and concept are beautiful. the top is sheer  but that's pretty clear in the images and not surprising for a lightweight white blouse. the problem is that the arms are more fitted and the torso (not the chest  but the mid-section) is cut fairly wide. i'm 5'10""  140#  34b and usually wear a 4 or a small/medium depending on how relaxed i want the fit. i purchased this in a 4. the arms were workable but slightly fitted  and the torso fit like an 8. chest was as expect",Blouses
-1,I ordered the coral/peach version in size 16. it ran small  especially compared to other size 14 or 16 maeve blouses i've purchased. very tight throughout the blouse. the product photos looked so nice compared to what arrived. the material was extremely cheap in quality. it wrinkled terribly. the bow pulled the material down which obscured the look of the eyelet. the idea of this was perfect for my style. unfortunately  the poor choice in material & poor fit made this a return for me.,Blouses
-1,"This top is crazy in the front and just way-off when it comes to a cross-over drape. the top did not lay flat and the drape over has one snap which seemed to ""bloop"" open constantly. the bottom in the front is a strange combination of layers that i couldn't get to look good.  i'm busty  but this isn't the reason this blouse is just a disaster of a fit on me. the blouse fits tts and everything was covered  so it's not like it was too small and tugged. that's not the case. this blouse just didn't",Blouses
-1,This is a crop top but super boxy and wide. i expected it to be more fitted in the waist. since it sits out away a from the body a lot  it was not flattering. i also felt the stitching to be a bit matronly for me. too bad as i am having such a hard time finding tops and i'm willing to pay full price for something that works.,Blouses
-1,I don't have a large head but i could barely squeeze this blouse over mine. i also ordered the xs even though i'm usually a small and it was still blousier than i would have liked. already returned it. on the plus side  it's gorgeous.,Blouses
0,A beautiful blouse;however  i assumed from the photo that it had a lining. it does not and the blouse is very sheer. it seems to run a bit small also  and if i add a camisole it might be too tight. the length is adequate. i may be returning it although it is very lovely and feminine.,Blouses
0,I wanted to love this top. i wanted to love it so badly i bought it twice. the design and beading are beautiful  but the sizing is off. as another person mentioned it does run short  but that was not the issue for me. i ordered my usual size in this brand and the arm holes were too tight. because i really love it  i decided to exchange it for a larger size. i did not try it on in the store because i never wear that size  and just assumed the arm holes would be larger. sadly they were not. still,Blouses
0,This shirt was strange. the bow tie was too thin and the dots were too dominant on the shirt. it looks okay in the model picture  but when i tried it on the bow and the dots just clashed.,Blouses
0,The color and detailing on this shirt are pretty  but it is incredibly wide at the hips. as someone with a large chest  it was very unflattering.,Blouses
